151,150,file_name,1028,60,63,64,65,112,142,52,100,9818,48,49,44,40,41,1,541,6,9,8,75,200,115,9509,205,207,9524,9525,9506,20,9843,76,108,127,128,129,442,167,58,11,10,39,38,15,14,17,98,55,32,57,56,37,50,35,34,9515,59,116,9513,54,111,31,110
,,DR/input_log_file.txt,,,,,,,,20190502-04:20:20.476,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,SEBWHITE,,,0,819,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:20:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,820,,228,,,,,,,,,,BLPTB,,,0,819,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:20:50.478,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,SEBWHITE,,,0,820,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:20:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,821,,224,,,,,,,,,,BLPTB,,,0,820,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:21:20.480,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,SEBWHITE,,,0,821,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:21:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,822,,224,,,,,,,,,,BLPTB,,,0,821,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:21:50.482,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,SEBWHITE,,,0,822,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:21:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,823,,229,,,,,,,,,,BLPTB,,,0,822,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:22:20.484,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,SEBWHITE,,,0,823,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:22:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,824,,229,,,,,,,,,,BLPTB,,,0,823,,,,,,,,
